1.193105743 10.0.0.2:34276 10.0.0.1:5001 32 0xa1412c85 0xa140dd55 14 12 237568 81036 29696
1.199019233 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
1.205283755 10.0.0.2:34276 10.0.0.1:5001 32 0xa14137d5 0xa140e8a5 14 12 237568 81605 29696
1.210358338 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
1.230360463 10.0.0.2:34276 10.0.0.1:5001 32 0xa1414325 0xa140f3f5 14 12 237568 81893 29696
1.234525835 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
1.241927168 10.0.0.2:34276 10.0.0.1:5001 32 0xa14159c5 0xa1410a95 14 12 237568 84000 29696
1.246746485 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
1.253124031 10.0.0.2:34276 10.0.0.1:5001 32 0xa1416515 0xa14115e5 14 12 237568 84003 29696
1.259701140 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
1.265896454 10.0.0.2:34276 10.0.0.1:5001 32 0xa1417065 0xa1412135 14 12 237568 84143 29696
1.270946356 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
1.278334973 10.0.0.2:34276 10.0.0.1:5001 32 0xa1417bb5 0xa1412c85 14 12 237568 84358 29696
1.283039804 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
1.289190554 10.0.0.2:34276 10.0.0.1:5001 32 0xa1418705 0xa14137d5 14 12 237568 84479 29696
1.295141260 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
1.301408407 10.0.0.2:34276 10.0.0.1:5001 32 0xa1419255 0xa1414325 14 12 237568 84418 29696
1.307280076 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
1.313520859 10.0.0.2:34276 10.0.0.1:5001 32 0xa1419da5 0xa1414e75 14 12 237568 82752 29696
1.319297857 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
1.325543947 10.0.0.2:34276 10.0.0.1:5001 32 0xa141a8f5 0xa14159c5 14 12 237568 82805 29696
1.332236867 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
1.339184249 10.0.0.2:34276 10.0.0.1:5001 32 0xa141b445 0xa1416515 14 12 237568 82918 29696
1.343793330 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
1.350888677 10.0.0.2:34276 10.0.0.1:5001 32 0xa141bf95 0xa1417065 15 12 237568 83322 29696
1.356534382 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
1.363517935 10.0.0.2:34276 10.0.0.1:5001 32 0xa141cae5 0xa1417bb5 15 12 237568 83543 29696
1.369063795 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
1.376016410 10.0.0.2:34276 10.0.0.1:5001 32 0xa141d635 0xa1418705 15 12 237568 83757 29696
1.379849559 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
1.387086688 10.0.0.2:34276 10.0.0.1:5001 32 0xa141e185 0xa1419255 15 12 237568 84156 29696
1.392044114 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
1.398628021 10.0.0.2:34276 10.0.0.1:5001 32 0xa141ecd5 0xa1419da5 15 12 237568 84357 29696
1.404173507 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
1.410579664 10.0.0.2:34276 10.0.0.1:5001 32 0xa141f825 0xa141a8f5 15 12 237568 84462 29696
1.416292584 10.0.0.1:5001 10.0.0.2:34276 2928 0xc8a54e15 0xc8a54e15 10 2147483647 29696 12000 237568
1.423294747 10.0.0.2:34276 10.0.0.1:5001 32 0xa1420375 0xa141b445 15 12 237568 84545 29696
